,ID,NAME
0,49091,COZICOMFORT LONG TERM STAY ROOM 2
1,50646,Pleasant Room along Bukit Timah
2,56334,COZICOMFORT
3,71609,Ensuite Room (Room 1 & 2) near EXPO
4,71896,B&B  Room 1 near Airport & EXPO
5,71903,Room 2-near Airport & EXPO
6,71907,3rd level Jumbo room 5 near EXPO
7,241503,"Long stay at The Breezy East ""Leopard"""
8,241508,"Long stay at The Breezy East ""Plumeria"""
9,241510,"Long stay at The Breezy East ""Red Palm"""
10,275343,Conveniently located City Room!( (Phone number hidden by Airbnb) )
11,275344,15 mins to Outram MRT Single Room (B)
12,289234,Booking for 3 bedrooms
13,294281,5 mins walk from Newton subway
14,324945,20 Mins to Sentosa @ Hilltop ! (8)
15,330089,"Accomo@ REDHILL-INSEAD, NTU,NUS -Mu(D)"
16,330095,10 mins to Redhill MRT @ Mini Orange Room(5)
17,344803,Budget short stay room near  EXPO
18,355955,Double room in an Authentic Peranakan Shophouse
19,369141,5mins from Newton Train Station
20,369145,5 mins walk from Newton MRT
21,395191,Heritage Apartment Room near Orchard
22,423875,Master Bedroom 4-Airport & EXPO
23,481789,Master Bedroom in Newly Built Flat
24,553229,Comfortable Condo Room - Boon Lay MRT
25,604966,Boutique 1 bedroom entiere appart
26,642660,BEST CITY LIVING WITH GA RESIDENCE
27,696136,Quiet ensuite room in Holland Village
28,719944,HDB housing in prime area near town
29,733863,Homestay at Serangoon
30,746929,2 Bdrm Spacious Condo_SeaView _10 Mins to Beach
31,756267,East Coast Boutique
32,756300,Cosy Furnished bedroom
33,756347,Bedroom for one. Good sea view
34,764599,10mins MRT to Orchard Road
35,765579,Chinatown@doorstep: *Queenbed Room 891
36,768313,Common Room for rent immediate
37,782227,"Cosy, bright, tasefully furnished"
38,804470,Spacious Luxury Condo in Orchard
39,815685,Awesome Yellow Room in the City! Near Orchard Rd!
40,819034,Boutique 2 Bedroom Apartment
41,819044,East Coast Hideaway
42,822413,Ming Vase Theme - 2 BR Apartment
43,823571,Apartment away from town
44,833289,Warm hospitality Italian style
45,872345,Designer Designed Double Room
46,880846,1 bedrm Aptm by Farrer Park Mrt
47,881253,Chinatown Doorstep: *Ensuite 1+1+ WOW city view!
48,881683,Tastefully Designed Single Room
49,888196,Exclusive 4 BR Penthouse with Views
50,902669,Aljunied *RoomC > MRT 3min > CBD 15 mins
51,918880,White English Home - strictly for female guest
52,922138,Porcelain Bowl Theme - 2 BR Apt
53,922509,Chinatown your doorstep: Ensuite M203
54,948105,Ensuite Master Bed Rm US$60 p/nite
55,963342,Individual room available for rent near to market
56,982909,Cozy Room @Central Area
57,1024986,Super Host Apartment
58,1060046,S$950/mth spacious room for short/long term lease
59,1078804,Cozy Studio Room
60,1131162,Cozy Room at Bedok Reservoir
61,1142414,Heritage apartment: Master Rm4* +bathroom (3mth+)
62,1178486,Cosy Private Room -  Ladies Only
63,1183421,Luxury Loft in the Center of SG
64,1199033,Lush Apartment on the East Coast
65,1210268,3BR (For 5)Apt Orchard/Stevens/UNESCO *MRT* Sui
66,1229614,1 bdrm Aptmt Orchard/Stevens/UNESCO Area #1
67,1233249,2BR (For 3) Apt Orchard/Stevens/UNESCO *MRT* A
68,1242205,Heritage Shophouse - Alluring Lodge
69,1244654,kAwesome view! Ensuite M208
70,1249555,Heritage apartment: Master room* +bathroom (3mth+)
71,1261443,kAweSome *view9! Ensuite 1+1 @ CBD/Chinatown (Cal)
72,1277842,SHORT TERM ACCOMMODATION
73,1277919,SHORT TERM ACCOMODATION AT CLEMENTI
74,1302185,"1-5pax Paya Lebar MRT, Sentosa, MBS, Orchard, City"
75,1315867,For The Solo Traveler and Dog Lover
76,1363204,Chinatown at your door: Master Rm* attach bathroom
77,1434208,Appt 3R  great vew on Marin baysand
78,1466685,Single room with pool/gym near Town
79,1485189,Lovely Bedroom w own Toilet - Singapore
80,1508829,Lavender QueenBed rmFr: 5m walk MRT
81,1521198,Singapore Downtown room with Ensuite bathroom
82,1562453,Deluxe Quad-sharing room
83,1581224,Life Impact Coaching
84,1599599,2br Orchard Loft beside MRT
85,1611318,"Central Condo, reasonable price"
86,1615074,AweSome view! Ensuite 1+1 @Chinatown
87,1622505,Terrace Suite
88,1643945,Private Bedroom from Semi-D
89,1646909,"Cozy room, convenient location"
90,1647014,Quiet Tropical Garden Bedroom Suite
91,1654840,3-person Bunk/Loft Bed Pte Room
92,1656833,Female room in luxury penthouse
93,1678744,Ladies-Only Shared Room @ Chinatown
94,1678754,Private Room for 6pax @ Chinatown
95,1678755,Mixed Shared Room @ Chinatown
96,1710048,Fireworks view8! highrise Ensuite
97,1715479,"3 BR @ ROB WALK-Orchard, Clark/Boat Quay close by!"
98,1719704,kEnsuiteM1 Brickwall2 @ Chinatown/CBD
99,1743439,Private room & sofa w/ a TV in a central location!
100,1756811,room in HDB sembawang close  
101,1766900,Heart of Orchard rd Master Room
102,1795873,Common Room with Private Bathroom
103,1804722,Shared Room for Two at Boon Keng MRT Station
104,1805143,2 Bdr condo+pool+Mins walk to MRT
105,1813277,Student Guardianship & Homestay
106,1816463,Family room  (Room 6) at 3rd level
107,1833950,Studio Apt Orchard/Stevens Area #2
108,1838622,Beautifully renovated cosy room 
109,1848152,Superb Outram central location - Master Bedroom
110,1857229,3rd Level -2 rooms with Family Hall
